iter	Logloss
0	0.64290425
1	0.6023038453
2	0.5691035089
3	0.5442985565
4	0.5256924893
5	0.508900327
6	0.4986279464
7	0.4848849625
8	0.4742233651
9	0.4684405019
10	0.4603041078
11	0.4549499895
12	0.4487886805
13	0.4437976709
14	0.4395647033
15	0.4345378255
16	0.4324764337
17	0.4275688028
18	0.4246865212
19	0.4217632126
20	0.4170451706
21	0.4145454132
22	0.4113861555
23	0.4101114235
24	0.4077685937
25	0.4056552994
26	0.403390062
27	0.4019236497
28	0.3999474491
29	0.397017901
30	0.3957912373
31	0.3939838507
32	0.3928034427
33	0.391842078
34	0.3897523472
35	0.3881255912
36	0.3873780412
37	0.3855726415
38	0.3845036374
39	0.3825775617
40	0.3800803838
41	0.3782772846
42	0.3771044755
43	0.3753462028
44	0.3749419277
45	0.3741808531
46	0.3732558097
47	0.3721525409
48	0.3706646565
49	0.3692149059
50	0.3680859124
51	0.3669711755
52	0.36585243
53	0.365137158
54	0.3640462286
55	0.3633014672
56	0.3627145398
57	0.3616762101
58	0.360834406
59	0.3589481373
60	0.3582670603
61	0.3576144268
62	0.3571357662
63	0.3567686489
64	0.3563454812
65	0.3553596118
66	0.3548975781
67	0.3544053928
68	0.3537250477
69	0.3533421053
70	0.3526675117
71	0.3512986999
72	0.3504401642
73	0.3497788513
74	0.3487471793
75	0.348062268
76	0.3473978527
77	0.3469309739
78	0.3462977211
79	0.3457096085
80	0.3448494345
81	0.3443274463
82	0.3436248971
83	0.3418596879
84	0.341251114
85	0.3404220328
86	0.3400453647
87	0.3390989886
88	0.3383896423
89	0.3377774782
90	0.3367370571
91	0.3362760342
92	0.3357512922
93	0.3351485396
94	0.3343924147
95	0.3338088336
96	0.3332019329
97	0.3325820304
98	0.3309658362
99	0.3305500233
100	0.3297472942
101	0.3283089072
102	0.3279196556
103	0.3275531309
104	0.326836604
105	0.3263127683
106	0.3259407013
107	0.3253588282
108	0.3243532295
109	0.3232915455
110	0.3228268278
111	0.3219820259
112	0.3213493657
113	0.3206771772
114	0.3203441504
115	0.3192510251
116	0.3183056599
117	0.317487245
118	0.3164409679
119	0.3153000183
120	0.3137494256
121	0.3127759305
122	0.3124541975
123	0.3114659229
124	0.3109213471
125	0.3101869384
126	0.3096608718
127	0.3091070937
128	0.308602534
129	0.3075158921
130	0.3067145225
131	0.3056950855
132	0.3046227003
133	0.304186461
134	0.3036382949
135	0.3032749074
136	0.302316645
137	0.3018674039
138	0.3014963826
139	0.3007062022
140	0.3000951884
141	0.2989902812
142	0.298619016
143	0.2977425985
144	0.2973855899
145	0.2965699985
146	0.2961212454
147	0.2959086158
148	0.2953469251
149	0.2951114291
150	0.2944365566
151	0.2937547127
152	0.2933238066
153	0.2926272878
154	0.2920708605
155	0.2910717453
156	0.2905991498
157	0.2900667741
158	0.289504787
159	0.288854489
160	0.2882699667
161	0.2878970109
162	0.2870490544
163	0.2863031602
164	0.286061599
165	0.2854593692
166	0.2849989738
167	0.2840055404
168	0.2832688659
169	0.2829389763
170	0.2826039278
171	0.2823197187
172	0.2819163498
173	0.2815806216
174	0.2810472873
175	0.2804508612
176	0.2797836748
177	0.2793952249
178	0.2791069724
179	0.2782392692
180	0.2776127265
181	0.2770630963
182	0.2764011734
183	0.275829984
184	0.2752437711
185	0.2746309273
186	0.2742848813
187	0.2737845394
188	0.2733941026
189	0.2728109049
190	0.2722250406
191	0.2719915489
192	0.2716482741
193	0.2712320429
194	0.2707854859
195	0.2703684007
196	0.2697169872
197	0.2691459024
198	0.2685948083
199	0.268105673
