iter	Passed	Remaining
0	8	1626
1	15	1569
2	22	1457
3	29	1457
4	36	1441
5	44	1442
6	54	1515
7	61	1479
8	68	1448
9	74	1420
10	81	1398
11	88	1383
12	94	1360
13	100	1340
14	106	1319
15	112	1298
16	118	1280
17	124	1260
18	130	1242
19	136	1226
20	142	1211
21	148	1202
22	154	1190
23	160	1179
24	167	1172
25	174	1164
26	180	1154
27	186	1143
28	192	1135
29	198	1126
30	205	1118
31	211	1110
32	217	1101
33	223	1093
34	230	1086
35	236	1076
36	242	1070
37	249	1063
38	256	1057
39	262	1050
40	269	1044
41	275	1038
42	283	1033
43	289	1026
44	295	1017
45	301	1009
46	307	1000
47	313	993
48	319	985
49	327	982
50	333	975
51	339	967
52	346	960
53	351	951
54	358	945
55	364	938
56	370	929
57	376	922
58	382	914
59	389	909
60	395	902
61	402	896
62	409	889
63	415	881
64	420	874
65	427	867
66	433	859
67	439	852
68	445	844
69	451	837
70	457	830
71	463	824
72	469	817
73	475	809
74	482	804
75	488	797
76	494	790
77	500	783
78	506	776
79	513	769
80	519	762
81	525	755
82	531	748
83	537	742
84	543	735
85	549	728
86	555	722
87	561	715
88	567	708
89	574	701
90	582	697
91	592	695
92	599	689
93	606	683
94	613	678
95	621	673
96	632	671
97	645	671
98	653	666
99	662	662
100	669	656
101	677	650
102	685	645
103	692	639
104	699	633
105	706	626
106	713	620
107	720	614
108	727	607
109	736	602
110	743	596
111	751	590
112	758	584
113	765	577
114	772	570
115	779	564
116	786	557
117	792	551
118	799	544
119	805	537
120	813	530
121	819	524
122	827	518
123	834	511
124	841	505
125	848	498
126	854	491
127	861	484
128	867	477
129	875	471
130	881	464
131	888	457
132	895	450
133	902	444
134	909	437
135	916	431
136	923	424
137	930	418
138	938	411
139	945	405
140	953	398
141	962	392
142	969	386
143	976	379
144	985	373
145	992	367
146	999	360
147	1006	353
148	1014	347
149	1021	340
150	1029	334
151	1037	327
152	1044	320
153	1051	314
154	1058	307
155	1066	300
156	1073	294
157	1081	287
158	1090	281
159	1098	274
160	1106	267
161	1113	261
162	1121	254
163	1128	247
164	1135	240
165	1142	234
166	1149	227
167	1156	220
168	1163	213
169	1170	206
170	1177	199
171	1185	192
172	1197	186
173	1205	180
174	1213	173
175	1220	166
176	1228	159
177	1234	152
178	1241	145
179	1248	138
180	1257	131
181	1263	124
182	1269	117
183	1276	110
184	1283	104
185	1289	97
186	1296	90
187	1304	83
188	1311	76
189	1318	69
190	1325	62
191	1331	55
192	1338	48
193	1344	41
194	1351	34
195	1357	27
196	1364	20
197	1370	13
198	1376	6
199	1382	0
